Troop 212 巨神像  Page 2 Line 1:  - Comment: 壞結局
Common Event 2 指令 Line 1:  - Comment: 下=0  左=1  右=2  上=3  Ａ=*  Ｂ=5 Ｃ=6  Ｘ=7  Ｙ=8  Ｚ=開始
Common Event 2 指令 Line 2:  - Comment: Ｌ=10  Ｒ=11
Common Event 5 自製Game Over Line 20:  - Comment: 死亡種類
Common Event 5 自製Game Over Line 21:  - Comment: 　可復活戰=1
Common Event 5 自製Game Over Line 22:  - Comment: 　不可復活=2
Common Event 5 自製Game Over Line 23:  - Comment: 　劇情死亡=3
Common Event 25 轟愛心 Line 15:  - Comment: -----------------------------------------------------------------------------------
Common Event 34 特殊戰鬥開始 Line 2:  - Comment: -------------------------------Leo----------------------------
Common Event 34 特殊戰鬥開始 Line 22:  - Comment: -------------------------------守護者狐狸----------------------------
Common Event 34 特殊戰鬥開始 Line 40:  - Comment: -------------------------------祈----------------------------
Common Event 34 特殊戰鬥開始 Line 60:  - Comment: -------------------------------Leo----------------------------
Common Event 34 特殊戰鬥開始 Line 85:  - Comment: -------------------------------亮光光頭----------------------------
Map 2 奇葩的開場 - Event 1 奇葩開場 (0,0) - Page 1 Line 360:  - Comment: 苦力喵劇情
Map 2 奇葩的開場 - Event 1 奇葩開場 (0,0) - Page 1 Line 386:  - Comment: 國泰劇情
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 1 Line 69:  - Comment: 火肥
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 1 Line 75:  - Comment: 水肥
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 1 Line 81:  - Comment: 闇肥
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 1 Line 125:  - Comment: 火肥
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 1 Line 130:  - Comment: 水肥
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 1 Line 135:  - Comment: 闇肥
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 1 Line 161:  - Comment: ----------------Good Ending！------------------
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 2 Line 67:  - Comment: 火肥
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 2 Line 73:  - Comment: 水肥
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 2 Line 79:  - Comment: 闇肥
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 2 Line 131:  - Comment: 火肥
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 2 Line 142:  - Comment: 水肥
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 2 Line 153:  - Comment: 闇肥
Map 14 肥婆之塔 5F 幻 - Event 1 EV001 (25,15) - Page 2 Line 212:  - Comment: ----------------Good Ending！------------------
Map 14 肥婆之塔 5F 幻 - Event 4 EV004 (25,30) - Page 1 Line 3:  - Comment: 火肥
Map 14 肥婆之塔 5F 幻 - Event 4 EV004 (25,30) - Page 1 Line 10:  - Comment: 水肥
Map 14 肥婆之塔 5F 幻 - Event 4 EV004 (25,30) - Page 1 Line 17:  - Comment: 闇肥
Map 19 秘密神殿：1層 - Event 7 Leo [7] (30,36) - Page 1 Line 46:  - Comment: 秘密神殿-利歐-1
Map 19 秘密神殿：1層 - Event 7 Leo [7] (30,36) - Page 2 Line 77:  - Comment: 秘密神殿-利歐-3
Map 19 秘密神殿：1層 - Event 7 Leo [7] (30,36) - Page 2 Line 98:  - Comment: 秘密神殿-利歐-4
Map 19 秘密神殿：1層 - Event 7 Leo [7] (30,36) - Page 2 Line 109:  - Comment: 秘密神殿-利歐-2
Map 19 秘密神殿：1層 - Event 7 Leo [7] (30,36) - Page 2 Line 120:  - Comment: 秘密神殿-利歐-2
Map 19 秘密神殿：1層 - Event 7 Leo [7] (30,36) - Page 3 Line 57:  - Comment: 秘密神殿-利歐-3
Map 19 秘密神殿：1層 - Event 7 Leo [7] (30,36) - Page 3 Line 79:  - Comment: 秘密神殿-利歐-4
Map 19 秘密神殿：1層 - Event 7 Leo [7] (30,36) - Page 6 Line 32:  - Comment: 秘密神殿-利歐-5
Map 19 秘密神殿：1層 - Event 7 Leo [7] (30,36) - Page 6 Line 53:  - Comment: 秘密神殿-利歐-4
Map 19 秘密神殿：1層 - Event 7 Leo [7] (30,36) - Page 7 Line 8:  - Comment: 秘密神殿-利歐-2
Map 19 秘密神殿：1層 - Event 7 Leo [7] (30,36) - Page 8 Line 37:  - Comment: 秘密神殿-利歐-6
Map 19 秘密神殿：1層 - Event 9 EV009 (23,37) - Page 1 Line 1:  - Comment: <口速=1>
